Pollutant,Model_MAE,Model_RMSE,Model_MAPE_%,Baseline_MAE,Baseline_RMSE,Baseline_MAPE_%
PM2.5 (ug/m3),15.340596029262544,21.235962195684763,53.27188841439491,12.90224549886137,18.208320825134564,51.88268280827537
PM10 (ug/m3),21.26335776409206,28.9345765862522,45.2561989974294,20.13104833831483,28.42006030729407,41.56472025960899
NO (ug/m3),7.139842861680098,9.801284069916369,114.42592445880719,7.262115802021063,11.803346259386764,83.87016785784938
NO2 (ug/m3),13.011952009730685,16.81515506266436,95.71060580348946,10.704145495303163,15.026824298822616,66.19973779855724
NOx (ppb),11.845798579698645,15.00218305956894,85.64836343730056,11.049215538713351,15.82072360779152,61.360613148346964
NH3 (ug/m3),1.8471667845855912,2.9560650317629524,29.313448332562498,1.441352512097922,3.1425478054790252,22.529284966262235
SO2 (ug/m3),2.449040638809645,4.312088318511627,58.1532028716175,2.9279602547680046,5.298003862129832,64.83826496631778
CO (mg/m3),0.23598066458659794,0.2962282286325033,25.99481579221738,0.15485617705664673,0.21909258786007219,18.142427125792775
Ozone (ug/m3),9.132449215335606,11.859816053185499,123.42359089518375,7.691534834898949,11.553466975310368,60.585682485449645
Benzene (ug/m3),0.5286659968748941,0.8008049695578847,4.080990002363123e+16,0.48224468047253066,0.8490150055697528,4.165730301781956e+16
Toluene (ug/m3),1.5550569516448844,2.8640882753426604,188.4244561777259,1.42217956518645,3.44508541594602,87.63831852720736
